size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
64,random,3,128,0.0009412432,0.0035210461,0.00072394003,0.0009792176,0.0035210461,0.00071727374,9.7142976e-05,0.00025895023,5.4000517e-05,9.9966026e-05,0.00027295752,5.719991e-05,1.7414675e-07,1.7868851e-07,1.7265884e-07,1.7992991e-07
64,random,4,128,0.0008519649,0.0020859384,0.0005380876,0.0008122333,0.0019683247,0.00049038883,0.00010688383,0.0002516544,5.66749e-05,0.00010773493,0.00030517578,5.395191e-05,2.0358169e-07,1.8925584e-07,1.740797e-07,1.798827e-07
64,sine,0,128,0.00079134223,0.0030881618,0.0005499657,0.0007845103,0.0030881618,0.0005692536,9.127759e-05,0.00019301011,5.3992724e-05,9.535451e-05,0.00019301011,4.8777067e-05,1.6878272e-07,1.6506755e-07,1.4770995e-07,1.511836e-07
64,sine,1,128,0.00085866,0.002629475,0.0005210741,0.0008571566,0.002629475,0.00051819335,8.5540996e-05,0.00020142179,4.2735734e-05,8.432118e-05,0.00019540785,4.5338704e-05,1.9771899e-07,1.9892347e-07,1.3678348e-07,1.4512972e-07
64,sine,2,128,0.0007571934,0.0023928583,0.00045927905,0.000748281,0.0022508653,0.00045888338,8.91201e-05,0.00019903253,4.218743e-05,8.726686e-05,0.00019836426,4.916563e-05,1.4653209e-07,1.4419419e-07,1.5542068e-07,1.673063e-07
64,sine,3,128,0.0007708464,0.0024414062,0.00058729114,0.00075318525,0.0027621358,0.00059207453,9.1866284e-05,0.00019836426,4.7917732e-05,8.215324e-05,0.00022006538,4.797426e-05,1.9092732e-07,1.8206046e-07,1.5160005e-07,1.3877239e-07
64,sine,4,128,0.00088230736,0.0023875982,0.000563198,0.00087527325,0.0022560314,0.00052608043,0.00010181699,0.00024604058,4.9642098e-05,0.000108422304,0.0002920175,5.8107114e-05,1.8940614e-07,1.859382e-07,1.4480207e-07,1.5303524e-07
64,impulse,0,128,0.00068141497,0.0020132351,0.00043469536,0.000721317,0.0020132351,0.00045933263,8.4677e-05,0.00021198187,4.480739e-05,9.335736e-05,0.00025895023,5.069344e-05,1.3647482e-07,1.492679e-07,1.2575069e-07,1.4434124e-07
64,impulse,1,128,0.0007929384,0.0017089844,0.0004061136,0.0008281289,0.0020132351,0.00044023996,0.00010828496,0.0003411969,6.62595e-05,0.00011126824,0.0002516544,5.4357733e-05,1.8809966e-07,1.9434623e-07,1.5823862e-07,1.6045875e-07
64,impulse,2,128,0.0007895649,0.0027621358,0.0004921537,0.0008063587,0.0027621358,0.00052630535,8.627576e-05,0.00022006538,4.470073e-05,8.9522575e-05,0.00022006538,4.8799902e-05,2.0626169e-07,2.0655662e-07,1.3795744e-07,1.4279568e-07
